date,open,high,low,close,volume,vwap
09/01/2013 18:17:57.413,1640.25,1642.0,1639.0,1641.0,21548.0,1640.6651313346947
09/01/2013 20:44:56.346,1641.0,1643.5,1639.75,1642.5,16935.0,1641.851033362858
09/02/2013 01:00:34.717,1642.5,1644.0,1640.25,1643.0,14520.0,1642.265099862259
09/02/2013 02:08:37.675,1643.0,1644.5,1642.25,1643.5,13737.0,1643.6819902453228
09/02/2013 02:40:34.175,1643.5,1646.0,1642.75,1645.25,14970.0,1644.5720273881095
09/02/2013 03:33:18.103,1645.25,1646.75,1643.75,1646.5,13094.0,1645.1306132579807
09/02/2013 04:41:49.391,1646.5,1647.25,1645.25,1645.75,14461.0,1646.3160742687228
09/02/2013 06:27:33.694,1645.75,1647.5,1645.25,1646.75,16893.0,1646.5297164506007
09/02/2013 07:36:45.508,1647.0,1648.5,1646.0,1647.5,21749.0,1647.5073681548577
09/02/2013 09:15:11.723,1647.5,1648.0,1645.25,1646.0,18411.0,1646.4045679213514
09/02/2013 10:22:13.718,1646.0,1648.25,1645.75,1646.75,19082.0,1647.333416308563
09/02/2013 19:36:41.948,1646.75,1648.5,1645.25,1647.0,14521.0,1646.8400075752359
09/02/2013 23:17:22.403,1647.0,1648.25,1646.0,1647.75,15798.0,1647.2303930877326
09/03/2013 02:00:13.294,1647.75,1649.0,1646.25,1647.25,16326.0,1648.0110866103148
09/03/2013 02:25:44.335,1647.25,1648.25,1646.25,1647.0,13539.0,1647.245309845631
09/03/2013 03:03:33.997,1647.0,1648.5,1646.5,1648.0,13737.0,1647.7190980563441
09/03/2013 03:50:52.120,1648.25,1648.5,1646.5,1647.0,13018.0,1647.3748079582117
09/03/2013 03:55:35.784,1646.75,1647.25,1642.5,1643.25,17500.0,1644.2733857142857
09/03/2013 04:01:45.928,1643.25,1644.5,1642.25,1642.25,17317.0,1643.2719148813305
09/03/2013 04:07:33.457,1642.25,1646.75,1642.25,1645.5,14837.0,1644.6733504077645
09/03/2013 04:20:04.105,1645.5,1645.75,1642.25,1644.5,14745.0,1643.7138351983724
09/03/2013 04:57:55.663,1644.5,1645.5,1642.75,1643.5,13489.0,1644.2440321743643
